top - 21:59:17 up 2 days,  6:55,  1 user,  load average: 0.84, 0.96, 0.91
Tasks: 451 total,   1 running, 450 sleeping,   0 stopped,   0 zombie
%Cpu(s):  5.8 us,  3.5 sy,  0.0 ni, 87.8 id,  2.9 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :  15755.9 total,    546.0 free,   9661.9 used,   5548.0 buff/cache
MiB Swap:   2048.0 total,    734.8 free,   1313.2 used.   4094.2 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   1112 root      20   0  118192  15616  14112 S   0.0   0.1   0:00.39 unattended-upgr
   1144 root      20   0  241348   8400   7688 S   0.0   0.1   0:00.33 gdm3
   1184 _chrony   20   0   18896   3556   3152 S   0.0   0.0   0:01.41 chronyd
   1190 _chrony   20   0   10924   3036   2832 S   0.0   0.0   0:00.03 chronyd
   1553 libvirt+  20   0   10084   2000   1612 S   0.0   0.0   0:05.87 dnsmasq
   1555 root      20   0   10084   1024    636 S   0.0   0.0   0:00.00 dnsmasq
   1635 rtkit     21   1  154004   3224   3108 S   0.0   0.0   0:01.15 rtkit-daemon
   1921 geoclue   20   0  652840  25828  14120 S   0.0   0.2   0:37.00 geoclue
   1928 root      20   0  372532  31400  16480 S   0.0   0.2   0:32.76 packagekitd
   2082 root      20   0  172060  10292   9584 S   0.0   0.1   0:00.61 cups-browsed
   2088 root      20   0   70848  11924  11296 S   0.0   0.1   0:04.12 nmbd
   2097 root      20   0    5136   1424   1424 S   0.0   0.0   0:00.00 rpc.mountd
   2099 statd     20   0    4776   2168   1948 S   0.0   0.0   0:00.00 rpc.statd
   2110 kernoops  20   0   13092   1920   1784 S   0.0   0.0   0:00.09 kerneloops
   2112 root      20   0       0      0      0 I   0.0   0.0   0:00.00 lockd
   2114 kernoops  20   0   13092   1944   1792 S   0.0   0.0   0:00.09 kerneloops
   2130 root      20   0       0      0      0 I   0.0   0.0   0:00.00 nfsd
   2131 root      20   0       0      0      0 I   0.0   0.0   0:00.00 nfsd
   2132 root      20   0       0      0      0 I   0.0   0.0   0:00.00 nfsd
   2133 root      20   0       0      0      0 I   0.0   0.0   0:00.00 nfsd
   2134 root      20   0       0      0      0 I   0.0   0.0   0:00.00 nfsd
   2135 root      20   0       0      0      0 I   0.0   0.0   0:00.00 nfsd
   2137 root      20   0       0      0      0 I   0.0   0.0   0:00.00 nfsd
   2138 root      20   0       0      0      0 I   0.0   0.0   0:00.00 nfsd
   2148 root      20   0   86748  14604  14360 S   0.0   0.1   0:00.80 smbd
   2164 root      20   0   84612   6556   6480 S   0.0   0.0   0:00.13 smbd-notifyd
   2166 root      20   0   84604   5132   5056 S   0.0   0.0   0:00.13 cleanupd
   2171 colord    20   0  245400  11924   9168 S   0.0   0.1   0:01.35 colord
   2178 root      20   0   86536  15056  13628 S   0.0   0.1   0:01.04 samba-bgqd
   2247 root      20   0    9688   2036   1948 S   0.0   0.0   0:00.00 xinetd
   2410 nobody    20   0   10504   3588   3360 S   0.0   0.0   0:02.20 dnsmasq
   2783 root      20   0 4630736 984976   4104 S   0.0   6.1  11:25.79 qemu-system-x86
   3050 root      20   0   41228   4516   4076 S   0.0   0.0   0:00.67 master
   3074 root      20   0 4963448 994940   4040 S   0.0   6.2  12:45.49 qemu-system-x86
   3235 root      20   0       0      0      0 S   0.0   0.0   0:00.11 kvm-nx-lpage-recovery-2783
   3236 root      20   0       0      0      0 S   0.0   0.0   0:00.11 kvm-nx-lpage-recovery-3074
   3237 root      20   0       0      0      0 S   0.0   0.0   0:00.13 kvm-nx-lpage-recovery-3166
   3247 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kvm-pit/3074
   3248 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kvm-pit/2783
   3249 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kvm-pit/3166
   3282 root      20   0  138684  13848  13796 S   0.0   0.1   0:00.60 sshfs_server
   3285 root      20   0  318296  11280   8896 S   0.0   0.1   0:00.51 gdm-session-wor
   3291 joel-wa+  20   0   18636  10708   8124 S   0.0   0.1   0:15.88 systemd
   3292 joel-wa+  20   0  105596   1984   1632 S   0.0   0.0   0:00.00 (sd-pam)
   3298 joel-wa+   9 -11   39856   3956   3824 S   0.0   0.0   0:00.40 pipewire
   3299 joel-wa+  20   0   23616   3832   3620 S   0.0   0.0   0:00.46 pipewire-media-
   3300 joel-wa+   9 -11 2808148  25464  21464 S   0.0   0.2  32:10.27 pulseaudio
   3312 joel-wa+  20   0  241060   7344   6332 S   0.0   0.0   0:01.55 gnome-keyring-d
   3322 joel-wa+  20   0   11108   7108   4020 S   0.0   0.0   0:21.85 dbus-daemon
   3323 joel-wa+  20   0  611672   7140   6636 S   0.0   0.0   0:01.41 xdg-document-po
   3326 joel-wa+  20   0  236156   5932   5624 S   0.0   0.0   0:00.06 xdg-permission-
   3332 root      20   0    2796   1760   1760 S   0.0   0.0   0:00.00 fusermount3
   3351 joel-wa+  20   0  162392   6028   5716 S   0.0   0.0   0:00.03 gdm-wayland-ses
   3354 joel-wa+  20   0  223044  13896  13784 S   0.0   0.1   0:00.12 gnome-session-b
   3417 joel-wa+  20   0   91912   5308   5288 S   0.0   0.0   0:00.01 gnome-session-c
   3430 joel-wa+  20   0  240768   7432   6752 S   0.0   0.0   0:00.38 gvfsd
   3440 joel-wa+  20   0  380896   6320   5904 S   0.0   0.0   0:00.04 gvfsd-fuse
   3446 joel-wa+  20   0  519468  16116  14696 S   0.0   0.1   0:01.55 gnome-session-b
   3449 joel-wa+  20   0  239296   7952   7604 S   0.0   0.0   0:00.03 gsettings-helpe
   3459 root      10 -10       0      0      0 S   0.0   0.0   0:00.00 krfcommd
   3471 joel-wa+  20   0  309660   7460   7044 S   0.0   0.0   0:00.10 at-spi-bus-laun
   3480 joel-wa+  20   0    8696   4376   3900 S   0.0   0.0   0:00.22 dbus-daemon
   3510 root      20   0  138684  13820  13736 S   0.0   0.1   0:00.29 sshfs_server
   3527 joel-wa+  20   0  582748  15252  14168 S   0.0   0.1   0:00.66 gnome-shell-cal
   3535 joel-wa+  20   0 1072244  20732  19456 S   0.0   0.1   0:00.60 evolution-sourc
   3536 joel-wa+  20   0   39128   7336   7260 S   0.0   0.0   0:00.26 snapd-desktop-i
   3567 joel-wa+  20   0  588052  33088  32412 S   0.0   0.2   0:00.65 goa-daemon
   3593 joel-wa+  20   0 1381216  25444  23424 S   0.0   0.2   0:01.26 evolution-calen
   3596 joel-wa+  20   0  157332   6132   5336 S   0.0   0.0   0:00.42 dconf-service
   3601 joel-wa+  20   0  429016  10336   8756 S   0.0   0.1   0:01.11 snapd-desktop-i
   3604 joel-wa+  20   0  316228  10128   8016 S   0.0   0.1   0:07.91 gvfs-udisks2-vo
   3611 joel-wa+  20   0  338404  13360  12800 S   0.0   0.1   0:00.28 goa-identity-se
   3643 joel-wa+  20   0  754240  23372  21916 S   0.0   0.1   0:00.73 evolution-addre
   3650 joel-wa+  20   0  315212   7532   6984 S   0.0   0.0   0:03.94 gvfs-afc-volume
   3657 joel-wa+  20   0  236460   6548   6004 S   0.0   0.0   0:00.33 gvfs-mtp-volume
   3664 joel-wa+  20   0  237544   6872   6292 S   0.0   0.0   0:00.32 gvfs-gphoto2-vo
   3668 joel-wa+  20   0  236636   6612   6084 S   0.0   0.0   0:00.22 gvfs-goa-volume
   3677 joel-wa+  20   0  599728  32416  29352 S   0.0   0.2   0:02.56 dolphin
   3678 joel-wa+  20   0  315016   8672   7488 S   0.0   0.1   0:00.39 gvfsd-trash
   3688 joel-wa+  20   0 2931456  27560  22336 S   0.0   0.2   0:06.05 gjs
   3690 joel-wa+  20   0  162688   6960   6588 S   0.0   0.0   0:00.19 at-spi2-registr
   3692 joel-wa+  20   0 1073516  40508  14688 S   0.0   0.3  19:48.18 Xwayland
   3712 joel-wa+  20   0    2892   1660   1652 S   0.0   0.0   0:00.01 sh
   3714 joel-wa+  20   0  315568   9756   6716 S   0.0   0.1   1:54.10 ibus-daemon
   3715 joel-wa+  20   0  310460   6548   6188 S   0.0   0.0   0:00.13 gsd-a11y-settin
   3717 joel-wa+  20   0  461160  24388  20392 S   0.0   0.2   0:01.48 gsd-color
   3721 joel-wa+  20   0  375504  14352  13868 S   0.0   0.1   0:00.21 gsd-datetime
   3722 joel-wa+  20   0  312324   8068   7180 S   0.0   0.1   0:09.48 gsd-housekeepin
   3724 joel-wa+  20   0  338928  19756  17016 S   0.0   0.1   0:00.48 gsd-keyboard
   3729 joel-wa+  20   0  715116  24828  21828 S   0.0   0.2   0:02.45 gsd-media-keys
   3735 joel-wa+  20   0  787676  26588  22020 S   0.0   0.2   0:03.96 gsd-power
   3736 joel-wa+  20   0  249856  10404   9796 S   0.0   0.1   0:00.16 gsd-print-notif
   3740 joel-wa+  20   0  457860   6548   6060 S   0.0   0.0   0:00.45 gsd-rfkill
   3743 joel-wa+  20   0  236292   6168   5732 S   0.0   0.0   0:00.15 gsd-screensaver
   3745 joel-wa+  20   0  466116  10536   8816 S   0.0   0.1   0:10.84 gsd-sharing
   3746 joel-wa+  20   0  232272   7708   5800 S   0.0   0.0   0:00.15 gsd-disk-utilit
   3749 joel-wa+  20   0  312344   7236   6860 S   0.0   0.0   0:00.16 gsd-smartcard
   3753 joel-wa+  20   0  319380   9072   8560 S   0.0   0.1   0:00.15 gsd-sound
   3759 joel-wa+  20   0  339536  19680  17248 S   0.0   0.1   0:00.58 gsd-wacom
   3781 joel-wa+  20   0  574080  34544  29060 S   0.0   0.2   0:13.85 kdeconnectd
   3795 joel-wa+  20   0  827384  55436  45184 S   0.0   0.3   0:01.20 evolution-alarm
   3838 joel-wa+  20   0 1746360 129520  18192 S   0.0   0.8   0:35.53 snap-store
   3853 joel-wa+  20   0  342360  13528  12996 S   0.0   0.1   0:00.19 gsd-printer
   3857 joel-wa+  20   0  237332   6860   6524 S   0.0   0.0   0:00.04 ibus-dconf
   3858 joel-wa+  20   0  347436  38504  17588 S   0.0   0.2   0:25.45 ibus-extension-
   3872 joel-wa+  20   0  237396   7292   6612 S   0.0   0.0   0:01.15 ibus-portal
   3890 joel-wa+  20   0  366592  18912  13664 S   0.0   0.1   0:01.47 gvfsd-http
   3918 joel-wa+  20   0  163748   7516   6560 S   0.0   0.0   0:36.38 ibus-engine-sim
   4005 joel-wa+  20   0  689388  12200  10188 S   0.0   0.1   0:04.87 xdg-desktop-por
   4009 joel-wa+  20   0  451044  17200  13848 S   0.0   0.1   0:04.30 xdg-desktop-por
   4032 joel-wa+  39  19  645956  28400  21580 S   0.0   0.2   0:10.79 tracker-miner-f
   4079 joel-wa+  20   0 2939472  25184  22452 S   0.0   0.2   0:00.99 gjs
   4092 joel-wa+  20   0 1049420  30616  21884 S   0.0   0.2   0:01.30 gsd-xsettings
   4143 joel-wa+  20   0  342852  18712  16140 S   0.0   0.1   0:01.46 xdg-desktop-por
   4159 joel-wa+  20   0  341984  19096  17128 S   0.0   0.1   0:00.55 ibus-x11
   4180 joel-wa+  20   0  588616  33400  29300 S   0.0   0.2   0:02.34 xdg-desktop-por
   4229 joel-wa+  20   0  163012   6224   5880 S   0.0   0.0   0:00.04 gvfsd-metadata
   4259 joel-wa+  20   0   12.2g 574172 231608 S   0.0   3.6  64:34.15 firefox
   4501 joel-wa+  20   0  213412  46548  44868 S   0.0   0.3   0:01.17 Socket Process
   4844 joel-wa+  20   0 2457136  95044  80452 S   0.0   0.6   0:47.22 WebExtensions
   5000 joel-wa+  20   0 2728692 246376  99320 S   0.0   1.5   1:39.27 Privileged Cont
   5092 joel-wa+  20   0 7132152 381188 128724 S   0.0   2.4   6:45.60 Isolated Web Co
   5112 joel-wa+  20   0 1682424   8220   2980 S   0.0   0.1   0:04.93 snap
   5404 joel-wa+  20   0  350412  45328  43440 S   0.0   0.3   0:05.94 Utility Process
   5411 joel-wa+  20   0 7142520 302308 107952 S   0.0   1.9  35:21.82 Isolated Web Co
   5633 joel-wa+  20   0 2608672 194864 105568 S   0.0   1.2   9:01.11 Isolated Web Co
   5728 joel-wa+  20   0 2822016 305100 119864 S   0.0   1.9   8:13.32 Isolated Web Co
   5735 joel-wa+  20   0 2447356 101544  86524 S   0.0   0.6   0:42.82 Isolated Web Co
   5737 joel-wa+  20   0   11408   4332   3816 S   0.0   0.0   0:00.10 bash
   5998 joel-wa+  20   0  117844   5080   4936 S   0.0   0.0   0:03.66 speech-dispatch
   6012 joel-wa+  20   0  631160 106260  90500 S   0.0   0.7   0:01.96 RDD Process
   6026 joel-wa+  20   0  105588   6088   6000 S   0.0   0.0   0:01.15 sd_espeak-ng
   6070 joel-wa+  20   0  358220   5492   5344 S   0.0   0.0   0:09.93 sd_dummy
   6103 joel-wa+  20   0    4936   1936   1912 S   0.0   0.0   0:00.35 brave-browser
   6143 joel-wa+  20   0  419428  26776  22016 S   0.0   0.2   0:03.36 update-notifier
   6283 joel-wa+  20   0    3372   1684   1664 S   0.0   0.0   0:00.00 cat
